Sr. No,Circuit Type,Circuit name,No. of transistors,No. of n-type transistor,No. of p-type transistor,Lg, W,D,Input Output Delay
550,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-06,1.50E-09,7.28E-11
551,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-07,1.60E-09,1.32E-11
552,Basic gates,AND Gate,6,3,3,3.20E-08,2.00E-07,1.60E-09,2.00E-11
553,Basic gates,AND Gate,6,3,3,3.20E-08,3.00E-07,1.60E-09,2.62E-11
554,Basic gates,AND Gate,6,3,3,3.20E-08,4.00E-07,1.60E-09,3.20E-11
555,Basic gates,AND Gate,6,3,3,3.20E-08,5.00E-07,1.60E-09,3.79E-11
556,Basic gates,AND Gate,6,3,3,3.20E-08,6.00E-07,1.60E-09,4.38E-11
557,Basic gates,AND Gate,6,3,3,3.20E-08,7.00E-07,1.60E-09,5.02E-11
558,Basic gates,AND Gate,6,3,3,3.20E-08,8.00E-07,1.60E-09,5.65E-11
559,Basic gates,AND Gate,6,3,3,3.20E-08,9.00E-07,1.60E-09,6.27E-11
560,Basic gates,AND Gate,6,3,3,3.20E-08,1.00E-06,1.60E-09,6.89E-11
561,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-07,9.00E-10,2.31E-11
562,Basic gates,AND Gate,6,3,3,4.20E-08,2.00E-07,9.00E-10,3.97E-11
563,Basic gates,AND Gate,6,3,3,4.20E-08,3.00E-07,9.00E-10,5.51E-11
564,Basic gates,AND Gate,6,3,3,4.20E-08,4.00E-07,9.00E-10,6.93E-11
565,Basic gates,AND Gate,6,3,3,4.20E-08,5.00E-07,9.00E-10,8.32E-11
566,Basic gates,AND Gate,6,3,3,4.20E-08,6.00E-07,9.00E-10,9.73E-11
567,Basic gates,AND Gate,6,3,3,4.20E-08,7.00E-07,9.00E-10,1.11E-10
568,Basic gates,AND Gate,6,3,3,4.20E-08,8.00E-07,9.00E-10,1.26E-10
569,Basic gates,AND Gate,6,3,3,4.20E-08,9.00E-07,9.00E-10,1.40E-10
570,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-06,9.00E-10,1.54E-10
571,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-07,1.00E-09,1.84E-11
572,Basic gates,AND Gate,6,3,3,4.20E-08,2.00E-07,1.00E-09,3.13E-11
573,Basic gates,AND Gate,6,3,3,4.20E-08,3.00E-07,1.00E-09,4.41E-11
574,Basic gates,AND Gate,6,3,3,4.20E-08,4.00E-07,1.00E-09,5.67E-11
575,Basic gates,AND Gate,6,3,3,4.20E-08,5.00E-07,1.00E-09,6.85E-11
576,Basic gates,AND Gate,6,3,3,4.20E-08,6.00E-07,1.00E-09,8.02E-11
577,Basic gates,AND Gate,6,3,3,4.20E-08,7.00E-07,1.00E-09,9.19E-11
578,Basic gates,AND Gate,6,3,3,4.20E-08,8.00E-07,1.00E-09,1.04E-10
579,Basic gates,AND Gate,6,3,3,4.20E-08,9.00E-07,1.00E-09,1.16E-10
580,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-06,1.00E-09,1.28E-10
581,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-07,1.10E-09,1.63E-11
582,Basic gates,AND Gate,6,3,3,4.20E-08,2.00E-07,1.10E-09,2.67E-11
583,Basic gates,AND Gate,6,3,3,4.20E-08,3.00E-07,1.10E-09,3.72E-11
584,Basic gates,AND Gate,6,3,3,4.20E-08,4.00E-07,1.10E-09,4.79E-11
585,Basic gates,AND Gate,6,3,3,4.20E-08,5.00E-07,1.10E-09,5.86E-11
586,Basic gates,AND Gate,6,3,3,4.20E-08,6.00E-07,1.10E-09,6.87E-11
587,Basic gates,AND Gate,6,3,3,4.20E-08,7.00E-07,1.10E-09,7.90E-11
588,Basic gates,AND Gate,6,3,3,4.20E-08,8.00E-07,1.10E-09,8.94E-11
589,Basic gates,AND Gate,6,3,3,4.20E-08,9.00E-07,1.10E-09,9.95E-11
590,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-06,1.10E-09,1.10E-10
591,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-07,1.20E-09,1.53E-11
592,Basic gates,AND Gate,6,3,3,4.20E-08,2.00E-07,1.20E-09,2.42E-11
593,Basic gates,AND Gate,6,3,3,4.20E-08,3.00E-07,1.20E-09,3.31E-11
594,Basic gates,AND Gate,6,3,3,4.20E-08,4.00E-07,1.20E-09,4.22E-11
595,Basic gates,AND Gate,6,3,3,4.20E-08,5.00E-07,1.20E-09,5.16E-11
596,Basic gates,AND Gate,6,3,3,4.20E-08,6.00E-07,1.20E-09,6.08E-11
597,Basic gates,AND Gate,6,3,3,4.20E-08,7.00E-07,1.20E-09,6.98E-11
598,Basic gates,AND Gate,6,3,3,4.20E-08,8.00E-07,1.20E-09,7.89E-11
599,Basic gates,AND Gate,6,3,3,4.20E-08,9.00E-07,1.20E-09,8.80E-11
600,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-06,1.20E-09,9.72E-11
601,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-07,1.30E-09,1.46E-11
602,Basic gates,AND Gate,6,3,3,4.20E-08,2.00E-07,1.30E-09,2.27E-11
603,Basic gates,AND Gate,6,3,3,4.20E-08,3.00E-07,1.30E-09,3.05E-11
604,Basic gates,AND Gate,6,3,3,4.20E-08,4.00E-07,1.30E-09,3.84E-11
605,Basic gates,AND Gate,6,3,3,4.20E-08,5.00E-07,1.30E-09,4.66E-11
606,Basic gates,AND Gate,6,3,3,4.20E-08,6.00E-07,1.30E-09,5.50E-11
607,Basic gates,AND Gate,6,3,3,4.20E-08,7.00E-07,1.30E-09,6.32E-11
608,Basic gates,AND Gate,6,3,3,4.20E-08,8.00E-07,1.30E-09,7.13E-11
609,Basic gates,AND Gate,6,3,3,4.20E-08,9.00E-07,1.30E-09,7.95E-11
610,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-06,1.30E-09,8.78E-11
611,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-07,1.40E-09,1.42E-11
612,Basic gates,AND Gate,6,3,3,4.20E-08,2.00E-07,1.40E-09,2.18E-11
613,Basic gates,AND Gate,6,3,3,4.20E-08,3.00E-07,1.40E-09,2.88E-11
614,Basic gates,AND Gate,6,3,3,4.20E-08,4.00E-07,1.40E-09,3.59E-11
615,Basic gates,AND Gate,6,3,3,4.20E-08,5.00E-07,1.40E-09,4.33E-11
616,Basic gates,AND Gate,6,3,3,4.20E-08,6.00E-07,1.40E-09,5.08E-11
617,Basic gates,AND Gate,6,3,3,4.20E-08,7.00E-07,1.40E-09,5.84E-11
618,Basic gates,AND Gate,6,3,3,4.20E-08,8.00E-07,1.40E-09,6.58E-11
619,Basic gates,AND Gate,6,3,3,4.20E-08,9.00E-07,1.40E-09,7.32E-11
620,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-06,1.40E-09,8.08E-11
621,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-07,1.50E-09,1.39E-11
622,Basic gates,AND Gate,6,3,3,4.20E-08,2.00E-07,1.50E-09,2.11E-11
623,Basic gates,AND Gate,6,3,3,4.20E-08,3.00E-07,1.50E-09,2.78E-11
624,Basic gates,AND Gate,6,3,3,4.20E-08,4.00E-07,1.50E-09,3.42E-11
625,Basic gates,AND Gate,6,3,3,4.20E-08,5.00E-07,1.50E-09,4.08E-11
626,Basic gates,AND Gate,6,3,3,4.20E-08,6.00E-07,1.50E-09,4.77E-11
627,Basic gates,AND Gate,6,3,3,4.20E-08,7.00E-07,1.50E-09,5.48E-11
628,Basic gates,AND Gate,6,3,3,4.20E-08,8.00E-07,1.50E-09,6.17E-11
629,Basic gates,AND Gate,6,3,3,4.20E-08,9.00E-07,1.50E-09,6.85E-11
630,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-06,1.50E-09,7.54E-11
631,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-07,1.60E-09,1.37E-11
632,Basic gates,AND Gate,6,3,3,4.20E-08,2.00E-07,1.60E-09,2.07E-11
633,Basic gates,AND Gate,6,3,3,4.20E-08,3.00E-07,1.60E-09,2.69E-11
634,Basic gates,AND Gate,6,3,3,4.20E-08,4.00E-07,1.60E-09,3.30E-11
635,Basic gates,AND Gate,6,3,3,4.20E-08,5.00E-07,1.60E-09,3.91E-11
636,Basic gates,AND Gate,6,3,3,4.20E-08,6.00E-07,1.60E-09,4.53E-11
637,Basic gates,AND Gate,6,3,3,4.20E-08,7.00E-07,1.60E-09,5.19E-11
638,Basic gates,AND Gate,6,3,3,4.20E-08,8.00E-07,1.60E-09,5.85E-11
639,Basic gates,AND Gate,6,3,3,4.20E-08,9.00E-07,1.60E-09,6.49E-11
640,Basic gates,AND Gate,6,3,3,4.20E-08,1.00E-06,1.60E-09,7.12E-11
641,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-07,9.00E-10,2.19E-11
642,Combinational ,Full adder,32,16,16,1.00E-08,2.00E-07,9.00E-10,4.34E-11
643,Combinational ,Full adder,32,16,16,1.00E-08,3.00E-07,9.00E-10,6.49E-11
644,Combinational ,Full adder,32,16,16,1.00E-08,4.00E-07,9.00E-10,8.63E-11
645,Combinational ,Full adder,32,16,16,1.00E-08,5.00E-07,9.00E-10,1.08E-10
646,Combinational ,Full adder,32,16,16,1.00E-08,6.00E-07,9.00E-10,1.29E-10
647,Combinational ,Full adder,32,16,16,1.00E-08,7.00E-07,9.00E-10,1.51E-10
648,Combinational ,Full adder,32,16,16,1.00E-08,8.00E-07,9.00E-10,1.72E-10
649,Combinational ,Full adder,32,16,16,1.00E-08,9.00E-07,9.00E-10,1.94E-10
650,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-06,9.00E-10,2.15E-10
651,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-07,1.00E-09,1.86E-11
652,Combinational ,Full adder,32,16,16,1.00E-08,2.00E-07,1.00E-09,3.67E-11
653,Combinational ,Full adder,32,16,16,1.00E-08,3.00E-07,1.00E-09,5.49E-11
654,Combinational ,Full adder,32,16,16,1.00E-08,4.00E-07,1.00E-09,7.31E-11
655,Combinational ,Full adder,32,16,16,1.00E-08,5.00E-07,1.00E-09,9.12E-11
656,Combinational ,Full adder,32,16,16,1.00E-08,6.00E-07,1.00E-09,1.10E-10
657,Combinational ,Full adder,32,16,16,1.00E-08,7.00E-07,1.00E-09,1.28E-10
658,Combinational ,Full adder,32,16,16,1.00E-08,8.00E-07,1.00E-09,1.46E-10
659,Combinational ,Full adder,32,16,16,1.00E-08,9.00E-07,1.00E-09,1.64E-10
660,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-06,1.00E-09,1.82E-10
661,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-07,1.10E-09,1.64E-11
662,Combinational ,Full adder,32,16,16,1.00E-08,2.00E-07,1.10E-09,3.24E-11
663,Combinational ,Full adder,32,16,16,1.00E-08,3.00E-07,1.10E-09,4.84E-11
664,Combinational ,Full adder,32,16,16,1.00E-08,4.00E-07,1.10E-09,6.44E-11
665,Combinational ,Full adder,32,16,16,1.00E-08,5.00E-07,1.10E-09,8.05E-11
666,Combinational ,Full adder,32,16,16,1.00E-08,6.00E-07,1.10E-09,9.65E-11
667,Combinational ,Full adder,32,16,16,1.00E-08,7.00E-07,1.10E-09,1.12E-10
668,Combinational ,Full adder,32,16,16,1.00E-08,8.00E-07,1.10E-09,1.29E-10
669,Combinational ,Full adder,32,16,16,1.00E-08,9.00E-07,1.10E-09,1.45E-10
670,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-06,1.10E-09,1.61E-10
671,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-07,1.20E-09,1.48E-11
672,Combinational ,Full adder,32,16,16,1.00E-08,2.00E-07,1.20E-09,2.93E-11
673,Combinational ,Full adder,32,16,16,1.00E-08,3.00E-07,1.20E-09,4.38E-11
674,Combinational ,Full adder,32,16,16,1.00E-08,4.00E-07,1.20E-09,5.82E-11
675,Combinational ,Full adder,32,16,16,1.00E-08,5.00E-07,1.20E-09,7.26E-11
676,Combinational ,Full adder,32,16,16,1.00E-08,6.00E-07,1.20E-09,8.71E-11
677,Combinational ,Full adder,32,16,16,1.00E-08,7.00E-07,1.20E-09,1.02E-10
678,Combinational ,Full adder,32,16,16,1.00E-08,8.00E-07,1.20E-09,1.16E-10
679,Combinational ,Full adder,32,16,16,1.00E-08,9.00E-07,1.20E-09,1.30E-10
680,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-06,1.20E-09,1.45E-10
681,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-07,1.30E-09,1.36E-11
682,Combinational ,Full adder,32,16,16,1.00E-08,2.00E-07,1.30E-09,2.69E-11
683,Combinational ,Full adder,32,16,16,1.00E-08,3.00E-07,1.30E-09,4.02E-11
684,Combinational ,Full adder,32,16,16,1.00E-08,4.00E-07,1.30E-09,5.34E-11
685,Combinational ,Full adder,32,16,16,1.00E-08,5.00E-07,1.30E-09,6.68E-11
686,Combinational ,Full adder,32,16,16,1.00E-08,6.00E-07,1.30E-09,8.01E-11
687,Combinational ,Full adder,32,16,16,1.00E-08,7.00E-07,1.30E-09,9.33E-11
688,Combinational ,Full adder,32,16,16,1.00E-08,8.00E-07,1.30E-09,1.07E-10
689,Combinational ,Full adder,32,16,16,1.00E-08,9.00E-07,1.30E-09,1.20E-10
690,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-06,1.30E-09,1.33E-10
691,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-07,1.40E-09,1.27E-11
692,Combinational ,Full adder,32,16,16,1.00E-08,2.00E-07,1.40E-09,2.50E-11
693,Combinational ,Full adder,32,16,16,1.00E-08,3.00E-07,1.40E-09,3.73E-11
694,Combinational ,Full adder,32,16,16,1.00E-08,4.00E-07,1.40E-09,4.97E-11
695,Combinational ,Full adder,32,16,16,1.00E-08,5.00E-07,1.40E-09,6.19E-11
696,Combinational ,Full adder,32,16,16,1.00E-08,6.00E-07,1.40E-09,7.44E-11
697,Combinational ,Full adder,32,16,16,1.00E-08,7.00E-07,1.40E-09,8.68E-11
698,Combinational ,Full adder,32,16,16,1.00E-08,8.00E-07,1.40E-09,9.91E-11
699,Combinational ,Full adder,32,16,16,1.00E-08,9.00E-07,1.40E-09,1.12E-10
700,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-06,1.40E-09,1.24E-10
701,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-07,1.50E-09,1.19E-11
702,Combinational ,Full adder,32,16,16,1.00E-08,2.00E-07,1.50E-09,2.35E-11
703,Combinational ,Full adder,32,16,16,1.00E-08,3.00E-07,1.50E-09,3.50E-11
704,Combinational ,Full adder,32,16,16,1.00E-08,4.00E-07,1.50E-09,4.67E-11
705,Combinational ,Full adder,32,16,16,1.00E-08,5.00E-07,1.50E-09,5.82E-11
706,Combinational ,Full adder,32,16,16,1.00E-08,6.00E-07,1.50E-09,6.98E-11
707,Combinational ,Full adder,32,16,16,1.00E-08,7.00E-07,1.50E-09,8.14E-11
708,Combinational ,Full adder,32,16,16,1.00E-08,8.00E-07,1.50E-09,9.30E-11
709,Combinational ,Full adder,32,16,16,1.00E-08,9.00E-07,1.50E-09,1.05E-10
710,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-06,1.50E-09,1.16E-10
711,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-07,1.60E-09,1.13E-11
712,Combinational ,Full adder,32,16,16,1.00E-08,2.00E-07,1.60E-09,2.22E-11
713,Combinational ,Full adder,32,16,16,1.00E-08,3.00E-07,1.60E-09,3.31E-11
714,Combinational ,Full adder,32,16,16,1.00E-08,4.00E-07,1.60E-09,4.41E-11
715,Combinational ,Full adder,32,16,16,1.00E-08,5.00E-07,1.60E-09,5.51E-11
716,Combinational ,Full adder,32,16,16,1.00E-08,6.00E-07,1.60E-09,6.60E-11
717,Combinational ,Full adder,32,16,16,1.00E-08,7.00E-07,1.60E-09,7.71E-11
718,Combinational ,Full adder,32,16,16,1.00E-08,8.00E-07,1.60E-09,8.79E-11
719,Combinational ,Full adder,32,16,16,1.00E-08,9.00E-07,1.60E-09,9.89E-11
720,Combinational ,Full adder,32,16,16,1.00E-08,1.00E-06,1.60E-09,1.10E-10
721,Combinational ,Full adder,32,16,16,2.00E-08,1.00E-07,9.00E-10,2.25E-11
722,Combinational ,Full adder,32,16,16,2.00E-08,2.00E-07,9.00E-10,4.43E-11
723,Combinational ,Full adder,32,16,16,2.00E-08,3.00E-07,9.00E-10,6.60E-11
724,Combinational ,Full adder,32,16,16,2.00E-08,4.00E-07,9.00E-10,8.78E-11
725,Combinational ,Full adder,32,16,16,2.00E-08,5.00E-07,9.00E-10,1.10E-10
726,Combinational ,Full adder,32,16,16,2.00E-08,6.00E-07,9.00E-10,1.31E-10
727,Combinational ,Full adder,32,16,16,2.00E-08,7.00E-07,9.00E-10,1.53E-10
728,Combinational ,Full adder,32,16,16,2.00E-08,8.00E-07,9.00E-10,1.75E-10
729,Combinational ,Full adder,32,16,16,2.00E-08,9.00E-07,9.00E-10,1.97E-10
730,Combinational ,Full adder,32,16,16,2.00E-08,1.00E-06,9.00E-10,2.18E-10
731,Combinational ,Full adder,32,16,16,2.00E-08,1.00E-07,1.00E-09,1.91E-11
732,Combinational ,Full adder,32,16,16,2.00E-08,2.00E-07,1.00E-09,3.75E-11
733,Combinational ,Full adder,32,16,16,2.00E-08,3.00E-07,1.00E-09,5.58E-11
734,Combinational ,Full adder,32,16,16,2.00E-08,4.00E-07,1.00E-09,7.42E-11
735,Combinational ,Full adder,32,16,16,2.00E-08,5.00E-07,1.00E-09,9.25E-11
736,Combinational ,Full adder,32,16,16,2.00E-08,6.00E-07,1.00E-09,1.11E-10
737,Combinational ,Full adder,32,16,16,2.00E-08,7.00E-07,1.00E-09,1.29E-10
738,Combinational ,Full adder,32,16,16,2.00E-08,8.00E-07,1.00E-09,1.48E-10
739,Combinational ,Full adder,32,16,16,2.00E-08,9.00E-07,1.00E-09,1.66E-10
740,Combinational ,Full adder,32,16,16,2.00E-08,1.00E-06,1.00E-09,1.85E-10
741,Combinational ,Full adder,32,16,16,2.00E-08,1.00E-07,1.10E-09,1.89E-11
742,Combinational ,Full adder,32,16,16,2.00E-08,2.00E-07,1.10E-09,3.70E-11
743,Combinational ,Full adder,32,16,16,2.00E-08,3.00E-07,1.10E-09,5.52E-11
744,Combinational ,Full adder,32,16,16,2.00E-08,4.00E-07,1.10E-09,7.33E-11
745,Combinational ,Full adder,32,16,16,2.00E-08,5.00E-07,1.10E-09,9.14E-11
746,Combinational ,Full adder,32,16,16,2.00E-08,6.00E-07,1.10E-09,1.10E-10
747,Combinational ,Full adder,32,16,16,2.00E-08,7.00E-07,1.10E-09,1.28E-10
748,Combinational ,Full adder,32,16,16,2.00E-08,8.00E-07,1.10E-09,1.46E-10
749,Combinational ,Full adder,32,16,16,2.00E-08,9.00E-07,1.10E-09,1.64E-10
750,Combinational ,Full adder,32,16,16,2.00E-08,1.00E-06,1.10E-09,1.82E-10
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
